examen	archivo	n	tema	ubicacion	enunciado_completo_extraido
Java.pdf	java/Java.pdf	11	Herramientas/general	pág 13	¿Cuál de las siguientes sentencias acerca del patrón de diseño Singleton es verdadera? a. El patrón Singleton es usado principalmente para facilitar la herencia y el polimorﬁsmo en la programación orientada a objetos. b. El patrón Singleton permite que una clase sea instanciada múltiples veces y provee un punto global de acceso a la última instancia creada. c. El patrón Singleton es usado para crear una colección de objetos que pueden ser accedidos globalmente. d. El patrón Singleton asegura que una clase tiene sólo una instancia y provee un punto global de acceso a ella. La respuesta correcta es: d. El patrón Singleton asegura que una clase tiene solo una instancia y provee un punto global de acceso a ella.
Java.pdf	java/Java.pdf	12	Java	pág 14	What will be the result of the following code execution involving streams? import java.util.Arrays; import java.util.List; public class Test { public static void main(String[] args) { List<Integer> numbers = Arrays.asList(1, 2, 3, 4, 5); long count = numbers.stream() .map(n -> n * 2) .filter(n -> n > 5) .count(); System.out.println(count); } } a. 0 b. 2 c. 3 d. 4 e. Compilation fails. The correct answer is: c. 3
Java.pdf	java/Java.pdf	13	APX	pág 16	¿Qué comando permite enviar una solicitud de transacción a un servidor APX? a. apx show in --project path=./TESTT001-01-ES b. apx add req --name="TESTT001-01-ES-test.json" -y --details c. apx send req --name="TESTT001-01-ES-test.json" -y --details d. apx check --repair La respuesta correcta es: c. apx send req --name="TESTT001-01-ES-test.json" -y --details
Java.pdf	java/Java.pdf	14	Java	pág 17	public class Test { public static void main(String... arguments) { final char a = 'A', d = 'D'; char grade = 'B'; switch (grade) { case a: case 'B': System.out.print("B"); case 'C': System.out.print("C"); case d: case 'F': System.out.print("F"); } } } a. A b. BF c. Compilation fails d. C e. ACF f. BCF g. B La respuesta correcta es: f. BCF
Java.pdf	java/Java.pdf	15	Java	pág 20	What will be the output of the following code snippet? class StaticNonStaticBlockTest { static { System.out.println("Static block"); } { System.out.println("Instance block"); } StaticNonStaticBlockTest() { System.out.println("Constructor"); } public static void staticMethod() { System.out.println("Static method"); } public static void main(String[] args) { StaticNonStaticBlockTest.staticMethod(); new StaticNonStaticBlockTest(); } } a.Static method Static block Instance block Constructor b.Static block Instance block Constructor Static method
Java.pdf	java/Java.pdf	16	APX	pág 21	¿Cual es la consola para la configuración de la aplicación en APX Online? a. Chrome Console b. APX Operation Console c. Apache Felix Online Console d. Builder Console e. JBoss Console La respuesta correcta es: b. APX Operation Console
Java.pdf	java/Java.pdf	17	Java	pág 22	public class StringInternExample { public static void main(String[] args) { String str1 = new String("example"); String str2 = "example"; String str3 = str1.intern(); System.out.println(str1 == str2); System.out.println(str2 == str3); System.out.println(str1 == str3); } } a. false true false b. true true true c. false false false d. true false false a b c d La respuesta correcta es: a.
Java.pdf	java/Java.pdf	18	APX	pág 25	Este patrón suele representarse como una única librería que contiene la mayoría de la funcionalidad y que otras librerías utilizan incorrectamente de apoyo. La clave del problema es que puede contener un porcentaje muy elevado de responsabilidades dentro de las solución a diseñar: Contenedor magico Blob CRUD Libreria La respuesta correcta es: Blob
Java.pdf	java/Java.pdf	19	Java	pág 26	public class Test { public static void op1(String s) { s += new String("Java"); } public static void stringTest() { String msg = new String("Hello"); op1(msg); System.out.println(msg); } public static void main(String... String) { stringTest(); } } What is the result? a. HelloJava b. Hello c. An exception is thrown at runtime d. Java e. Compilation fails f. null The correct answer is: b. Hello
Java.pdf	java/Java.pdf	20	Java	pág 28	Dado el siguiente código: import java.util.List; import java.util.function.Predicate; class Person { String name; public Person(String name) { this.name = name; } @Override public String toString() { return name; } } public class Test { static List<Person> filter(List<Person> input, Predicate<Person> predicate) { return input.stream().filter(predicate).toList(); } public static void main(String[] args) { var a = new Person("John"); var b = new Person("Jane"); var c = new Person("Mark"); var input = List.of(a, b, c); var output = filter(input, p -> !p.name.startsWith("J")); System.out.println(output); } } What is the given program's output? a. [John, Jane, Mark] b. null c. [Jane] d. [] e. [Mark] f. [John, Jane, Mark] g. [John, Jane] h. [John] The correct answer is: e. [Mark]
Java.pdf	java/Java.pdf	21	Java	pág 30	¿Cuál será el resultado de ejecutar el siguiente código? class Parent { public void display() { System.out.println("Parent"); } } class Child extends Parent { public void display() { System.out.println("Child"); } } public class Test { public static void main(String[] args) { Parent obj = new Child(); obj.display(); } } a. Parent b. Error de ejecución c. Child d. Error de compilación La respuesta correcta es: c. Child
Java.pdf	java/Java.pdf	22	Java	pág 32	public class OverloadedMethods { public OverloadedMethods() { this(10); System.out.println("No-argument constructor"); } public OverloadedMethods(int x) { System.out.println("Constructor with int argument: " + x); } public void calculate() { System.out.println("No-argument calculate method"); } public void calculate(int x) { System.out.println("Calculate method with int argument: " + x); } public static void main(String[] args) { OverloadedMethods obj1 = new OverloadedMethods(); obj1.calculate(); obj1.calculate(5); OverloadedMethods obj2 = new OverloadedMethods(20); obj2.calculate(); obj2.calculate(15); } } a. No-argument constructor Constructor with int argument: 10 No-argument calculate method Calculate method with int argument: 5 Constructor with int argument: 20 Calculate method with int argument: 15 No-argument calculate method b. No-argument constructor Constructor with int
Java.pdf	java/Java.pdf	23	Java	pág 36	Which of the following is not a part of the Java Collections Framework? a. ArrayList b. Map c. Dictionary d. List The correct answer is: c. Dictionary
Java.pdf	java/Java.pdf	24	Herramientas/general	pág 37	Cual de los siguientes comandos de Maven se utiliza para compilar un proyecto JAR, pero sin depositarlo en el repositorio local? a. mvn compile b. mvn clean c. mvn install d. mvn package La respuesta correcta es: d. mvn package
Java.pdf	java/Java.pdf	25	Java	pág 38	What is the result type when a short is subtracted from a double in Java? a. short b. You cannot subtract a short from a double. c. int d. ﬂoat e. double The correct answer is: e. double
Java.pdf	java/Java.pdf	26	Java	pág 39	public class Test { static boolean b; public static void main(String[] args) { int x = 0; if (b) { x = 1; } else if (b = false) { x = 2; } else if (b) { x = 3; } else { x = 4; } System.out.println("x=" + x); } } What is the result? a. x = 3 b. x = 0 c. Compilation fails d. x = 4 e. x = 1 The correct answer is: d. x = 4
Java.pdf	java/Java.pdf	27	Herramientas/general	pág 41	¿Cuál de las siguientes herramientas se utiliza principalmente para probar y desarrollar APIs, permitiendo enviar solicitudes HTTP y analizar las respuestas? a. Git b. Ninguna de las anteriores. c. Artifactory d. Docker e. Maven La respuesta correcta es: b. Ninguna de las anteriores
Java.pdf	java/Java.pdf	28	Java	pág 42	¿Qué puede suceder al intentar ejecutar el siguiente código para establecer una conexión a una base de datos?" public class TestJDBC { public static void main(String[] args) { String url = "jdbc:mysql://localhost:3306/mydb"; String user = "user"; String password = "password"; try { Connection conn = DriverManager.getConnection(url, user, password); System.out.println("Connection established successfully."); } catch (SQLException e) { System.out.println("Failed to establish connection."); e.printStackTrace(); } } } a) Establece la conexión exitosamente e imprime "Connection established successfully". b) Lanza una ClassNotFoundException. c) Lanza una NullPointerException. d) Falla al establecer la conexión e imprime "Failed to establish connection."
Java.pdf	java/Java.pdf	29	Java	pág 43	public class OverloadedExample { private String name; public OverloadedExample() { this("Default"); System.out.println("No-argument constructor called"); } public OverloadedExample(String name) { this.name = name; System.out.println("Constructor with argument called: " + name); } public void display() { System.out.println("Name: " + name); } public void display(String prefix) { System.out.println(prefix + ":" + name); } public static void main(String[] args) { OverloadedExample obj1 = new OverloadedExample(); obj1.display(); obj1.display("Hello"); OverloadedExample obj2 = new OverloadedExample("John"); obj2.display(); obj2.display("Hi"); } } a.No-argument constructor called Constructor with argument called: Default Name: Default Hello:Default Constructor with argument called: John Name: John Hi:John b.No-argument constructor called Constructor with argument called: Default Name: D
Java.pdf	java/Java.pdf	30	Java	pág 45	In Java, which syntax is used to declare a method parameter that accepts a variable number of arguments? a. [] b. varargs c. <> d. ... e. {} The correct answer is: d. ...
Java.pdf	java/Java.pdf	31	APX	pág 46	En JDBC APX cual es la cantidad máxima de resultados que permite obtener la consulta antes de que se deba de paginar? 1000 2000 5000 4000 3000
Java.pdf	java/Java.pdf	32	Java	pág 46	Which statement about the following code is correct? class Base { public Base() { System.out.println("Base constructor"); } public Base(String message) { System.out.println("Base constructor with message: " + message); } } class Derived extends Base { public Derived() { super("Hello"); System.out.println("Derived constructor"); } } public class Test { public static void main(String[] args) { Derived derived = new Derived(); } } a. It will print "Base constructor" followed by "Derived constructor". b. It will print "Base constructor with message: Hello" followed by "Derived constructor". c. It will throw a compilation error. d. It will print "Derived constructor" followed by "Base constructor with message: Hello". The correct answer is: b. It will print "Base constructor with message: Hello" followed by "Derived constructor".
Java.pdf	java/Java.pdf	33	Herramientas/general	pág 49	¿Qué patrón de diseño es el más adecuado para garantizar que una clase tenga solo una instancia y proporciona un punto de acceso global a esta? a. Strategy Pattern b. Factory Pattern c. Singleton Pattern d. Observer Pattern e. Command Pattern La respuesta correcta es: c. Singleton Pattern
Java.pdf	java/Java.pdf	34	APX	pág 50	¿Cuál de los siguientes componentes de APX representa una entidad comercial en forma de un Bean? a. Transacciones b. Jobs c. Librerias d. Todas las opciones son correctas e. DTOs La respuesta correcta es: e. DTOs
Java.pdf	java/Java.pdf	35	Java	pág 51	Which of the following are reserved words in Java for exception handling? a. try, catch, ﬁnally, throw, throws b. ﬁnal, static, catch, throws c. throw & throws d. try, catch, ﬁnal, throw, throws e. Error, Exception, RuntimeException, Throwable The correct answer is: a. try, catch, finally, throw, throws
Java.pdf	java/Java.pdf	36	Herramientas/general	pág 53	¿Cuál es el propósito principal del archivo pom.xml en un proyecto Maven? a. Para almacenar la conﬁguración del repositorio del proyecto. b. Para especiﬁcar la versión de Java utilizada en el proyecto. c. Para deﬁnir las dependencias del proyecto, la conﬁguración de compilación y los complementos. d. Para almacenar la conﬁguración especíﬁca del usuario. La respuesta correcta es: c. Para definir las dependencias del proyecto, la configuración de compilación y los complementos.
Java.pdf	java/Java.pdf	37	Java	pág 54	Which tool is used to package Java classes into a JAR (Java Archive) file? a. jconsole b. java c. jps d. javac e. jar The correct answer is: e. jar
Java.pdf	java/Java.pdf	38	Java	pág 55	¿Cuál de los siguientes fragmentos de código generará una ClassCastException en tiempo de ejecución? // Opción a class A {} class B extends A {} public class Test { public static void main(String[] args) { A obj = new B(); A a = (A) obj; } } // Opción b class A {} class B extends A {} public class Test { public static void main(String[] args) { B obj = new B(); A a = (A) obj; } } // Opción c class A {} class B extends A {} public class Test { public static void main(String[] args) { A obj = new B(); B b = (B) obj; } } // Opción d class A {} class B extends A {} public class Test { public static void main(String[] args) { A ob = new A(); B b = (B) ob; } } a b c d La respuesta correcta es: d
Java.pdf	java/Java.pdf	39	Java	pág 59	Which of the following operators are valid for boolean variables in Java? a. && b. | c. + d. || e. == The correct answers are: a. &&
Java.pdf	java/Java.pdf	40	Java	pág 60	public class LoopQuestion { public static void main(String[] args) { int count = 0; for (int i = 0; i < 10; i++) { if (i % 2 == 0) { count++; } } System.out.println("Count: " + count); } } a. Compilation fails. b. Count: 5 c. Count: 4 d. Count: 10 e. Count: 6 The correct answer is: b. Count: 5
Java.pdf	java/Java.pdf	41	Java	pág 61	What is the output of the following program? public class Test { public static void main(String[] args) { int x = 0; while (x++ < 5) { // Empty loop body } String message = x > 5 ? "greater than" : "false"; System.out.println(message + " - " + x); } } a. false than - 6 b. greater than - 6 c. false than - 5 d. Compilation fails. e. greater than - 5 The correct answer is: b. greater than - 6
Java.pdf	java/Java.pdf	42	APX	pág 63	¿Qué es el APX CLI? a. Herramienta Web que permite crear el andamio de un proyecto APX. b. Herramienta para administrar las dependencias de un proyecto APX. c. Herramienta web que proporciona a los desarrolladores y administradores gestionar la conﬁguración. d. Es una interfaz de línea de comandos para realizar operaciones sobre componentes APX. La respuesta correcta es: d. Es una interfaz de línea de comandos para realizar operaciones sobre componentes APX.
Java.pdf	java/Java.pdf	43	Herramientas/general	pág 64	Which of the following statements about the Singleton pattern is true? a. The Singleton pattern allows a class to be instantiated multiple times but provides a global access point to the most recently b. The Singleton pattern ensures that a class has only one instance and provides a global point of access to it c. The Singleton pattern is mainly used to facilitate inheritance and polymorphism in object-oriented programming. d. The Singleton pattern is used to create a collection of objects that can be accessed globally. The correct answer is: b. The Singleton pattern ensures that a class has only one instance and provides a global point of access to it
Java.pdf	java/Java.pdf	44	APX	pág 66	¿Cuáles dos de las siguientes opciones son funciones de la siguiente instrucción? apx deploy local --runtime=online --country=ESP -y a. Despliega el componente APX en el enfoque APX Online en el lenguaje Español. b. Compila, empaqueta y ejecuta pruebas del componente en el que está ubicado. c. Despliega el componente APX en el enfoque APX Online en la región de España. d. La instrucción tiene un error.
Java.pdf	java/Java.pdf	45	Herramientas/general	pág 66	¿Cuál de las siguientes bases de datos NoSQL es conocida por su modelo de documentos, donde los datos se almacenan en formato BSON (Binary JSON)? a. MongoDB b. Neo4j c. Cassandra d. Redis La respuesta correcta es: a. MongoDB
Java.pdf	java/Java.pdf	46	APX	pág 67	¿Cómo solucionamos un Blob? Realizar un refactoring del diseño entre las librerías involucradas. La clave es mover el comportamiento de este antipatrón a sus librerías relacionadas, diferenciándose por las entidades con las que trabajan, reduciendo el acoplamiento entre librerías y simpliﬁcando los mantenimientos. Normalmente es muy complicada de reutilizar y probar. Puede ser ineﬁciente o introducir excesiva complejidad si se reutiliza para pequeñas partes de su funcionalidad. Agregar una gran cantidad de métodos “execute”. Realizar un refactoring del diseño sin las librerías involucradas. La respuesta correcta es: Realizar un refactoring del diseño entre las librerías involucradas. La clave es mover el comportamiento de este antipatrón a sus librerías relacionadas, diferenciándose por las entidades con las que trabajan, reduciendo el acoplamiento entre librerías y simplificando lo
Java.pdf	java/Java.pdf	47	Herramientas/general	pág 69	¿Cuál es la principal función del servidor de aplicaciones Jboss? a. Proporcionar una plataforma para desplegar, ejecutar y gestionar aplicaciones empresariales Java. b. Ofrecer un sistema de control de versiones para proyectos Java. c. Actuar como un servicio para el desarrollo de aplicaciones HTML y CSS. d. Proporcionar un entorno de desarrollo integrado (IDE) para aplicaciones Java. La respuesta correcta es: a. Proporcionar una plataforma para desplegar, ejecutar y gestionar aplicaciones empresariales Java.
Java.pdf	java/Java.pdf	48	Herramientas/general	pág 70	¿Cuál de los siguientes comandos de Git se utiliza para crear una nueva rama y cambiarse a ella? a. git branch nombre_de_rama b. git checkout -m nombre_de_rama c. git branch -d nombre_de_rama d. git checkout -b nombre_de_rama La respuesta correcta es: d. git checkout -b nombre_de_rama
Java.pdf	java/Java.pdf	49	Java	pág 71	¿Cuáles de las siguientes excepciones deben ser chequeadas? a. IOException b. IndexOutOfBoundsException c. InterruptedException d. NullPointerException e. ClassCastException f. ArithmeticException Las respuestas correctas son: a. IOException
Java.pdf	java/Java.pdf	50	Herramientas/general	pág 72	In a Maven proyect which file is used to configure proyect dependecies, build configuration and proyect metadata? a. package.json b. settings.xml c. pom.xml d. build.gradle e. apx.yaml The correct answer is: c. pom.xml
Java.pdf	java/Java.pdf	51	Java	pág 74	¿Cuál será el resultado de intentar compilar y ejecutar el siguiente fragmento de código? import java.util.*; public class ComparableTest { public static void main(String[] args) { List<Item> items = new ArrayList<>(); items.add(new Item("Apple", 3)); items.add(new Item("Banana", 2)); items.add(new Item("Cherry", 1)); Collections.sort(items); for (Item item : items) { System.out.println(item.getName() + ": " + item.getPrice()); } } } class Item implements Comparable<Item> { private String name; private int price; public Item(String name, int price) { this.name = name; this.price = price; } public String getName() { return name; } public int getPrice() { return price; } @Override public int compareTo(Item other) { return this.name.compareTo(other.name); } } a. Error de compilación debido a una implementación incorrecta de Comparable. b. Imprimirá los artículos ordenados por precio.
Java.pdf	java/Java.pdf	52	Java	pág 77	Dado el siguiente código public class Test { _____ doMath(long l, short s) { return s / (l * 10); } } ¿Cuál es el tipo de retorno válido punto flotante más restringido para el método de cálculo? a. long b. ﬂoat c. short d. int e. byte f. double La respuesta correcta es: b. float
Java.pdf	java/Java.pdf	53	Java	pág 78	¿Cuál de las siguientes anotaciones en JUnit se utiliza para indicar que un método debe ejecutarse antes de cada método de prueba? a. @Before b. @Test c. @JUnit d. @BeforeClass e. @After La respuesta correcta es: a. @Before
Java.pdf	java/Java.pdf	54	Java	pág 80	import java.util.ArrayList; public class Test { public static void main(String[] args) { String v = new String(); StringBuffer sb = new StringBuffer(); class MyList extends ArrayList { } System.out.println((v instanceof String) && (sb instanceof Object) && (new MyList() instanceof ArrayList)); } } What is the result? a. false b. true c. The code runs with no output. d. Compilation fails. e. An exception is thrown at runtime. f. null The correct answer is: b. true
Java.pdf	java/Java.pdf	55	Java	pág 81	In Java, which of the following is used to call a constructor from another constructor in the same class? a. super() b. new() c. this.<class_name>() d. this() The correct answer is: d. this()
Java.pdf	java/Java.pdf	56	Java	pág 83	public class Test { public static void main(String[] args) { String str = "a1b2c3d4e5f6"; String[] parts = str.split("\\D"); for (String part : parts) { System.out.print(part + " "); } } } a. 1 2 3 4 5 6 b. Compilation fails. c. abcdef d. An exception is thrown at runtime. e. 123456 f. abcdef The correct answer is: a. 1 2 3 4 5 6
Java.pdf	java/Java.pdf	57	Java	pág 84	public class Test { static int co = 0; public static void main(String[] args) { int x = 1; for (test('1'); test('2') && (x <= 2); test('3')) { x++; test('4'); } System.out.println(" The co value = " + co); } static boolean test(char num) { System.out.print("" + num); co++; return true; } } a. 12432432 The co value = 8 b. 1234 The co value = 4 c. 14231423 The co value = 8 d. 12341234 The co value = 8 e. 12342342 The co value = 8 f. Compilation fails The correct answer is: a. 12432432 The co value = 8
Java.pdf	java/Java.pdf	58	Java	pág 87	Which of the following statements about ArrayList is true? a. ArrayList allows duplicate elements. b. ArrayList does not maintain the insertion order of elements. c. ArrayList elements are stored in a tree structure. d. ArrayList can store primitive types directly. The correct answer is: a. ArrayList allows duplicate elements.
Java.pdf	java/Java.pdf	59	Java	pág 88	import java.time.LocalDateTime; import java.time.Period; import java.time.format.DateTimeFormatter; import java.time.format.FormatStyle; public class Test { public static void main(String[] argv) { LocalDateTime d = LocalDateTime.of(1997, 5, 15, 23, 55, 30); Period p = Period.of(1, 2, 3); d = d.minus(p); DateTimeFormatter f = DateTimeFormatter.ofLocalizedDateTime(FormatStyle.SHORT); System.out.println(d.format(f)); } } a. 15/05/1997 b. The code does not compile c. 05/15/97 23:55 AM d. 0.996875 e. A runtime exception is thrown f. 12/3/1996 g. 12/03/96 23:55 Vamos a analizar el código paso a paso: import java.time.LocalDateTime; import java.time.Period; import java.time.format.DateTimeFormatter; import java.time.format.FormatStyle; public class Test { public static void main(String[] argv) { LocalDateTime d = LocalDateTime.of(1997, 5, 15, 23, 55, 30); Period p = Period.of(1, 2, 3); d
Java.pdf	java/Java.pdf	60	Java	pág 91	¿Cuál es el tipo de resultado cuando se resta un short de un double en Java? a. int b. No se puede restar un short de un double. c. ﬂoat d. short e. double Muy bien, lo vemos con calma 👇 📌 Reglas de promoción numérica en Java Cuando realizas operaciones aritméticas entre tipos primitivos en Java, el compilador convierte automáticamente los operandos al tipo más “grande” (con mayor precisión) de la operación. El orden de "jerarquía" es: byte → short → int → long → float → double ● Si uno de los operandos es double , el otro se convierte automáticamente en double . ● El resultado ﬁnal será también double . 📌 Ejemplo práctico short s = 5; double d = 10.5; var r = d - s; System.out.println(r); // 5.5 System.out.println(((Object)r).getClass().getName()); Salida: 5.5 java.lang.Double 👉 El short se promueve a double , y el resultado es double .
Java.pdf	java/Java.pdf	61	Java	pág 92	¿Cuál de los siguientes métodos de Mockito se utiliza para verificar que un método de un mock ha sido llamado un número específico de veces? a. doThrow() b. verify() c. doReturn() d. Ninguna opción es correcta. e. when() & thenReturn() Vamos a analizar 👇 En Mockito , los métodos más usados son: ● when(...).thenReturn(...) → para deﬁnir qué debe devolver un mock cuando se llama a cierto método. ● doReturn(...).when(...) o doThrow(...).when(...) → para simular comportamientos (devolver algo o lanzar excepciones). ● verify(...) → para veriﬁcar interacciones con el mock, como cuántas veces se llamó un método. Ejemplo: verify(miMock, times(3)).miMetodo(); 👉 Veriﬁca que miMetodo() fue invocado exactamente 3 veces sobre miMock .
Java.pdf	java/Java.pdf	62	Java	pág 93	¿Cuál de las siguientes afirmaciones es correcta sobre la aserción assertEquals en JUnit? a. Se utiliza para veriﬁcar que una colección contiene un elemento especíﬁco. b. Se utiliza para veriﬁcar que dos valores son iguales. c. Se utiliza para veriﬁcar que una condición es verdadera. d. Se utiliza para veriﬁcar que dos objetos referencian la misma instancia. Vamos con la explicación 👇 En JUnit , las aserciones más comunes son: ● assertEquals(expected, actual) → veriﬁca que dos valores (u objetos, comparando con equals() ) sean iguales . ● assertTrue(condition) → veriﬁca que una condición sea verdadera. ● assertSame(expected, actual) → veriﬁca que dos referencias apunten a la misma instancia . ● Para veriﬁcar que una colección contenga un elemento se usaría otra librería (por ejemplo Hamcrest con assertThat ), no assertEquals .
Java.pdf	java/Java.pdf	63	Java	pág 94	import java.util.Arrays; public class Test { public static void main(String[] args) { String[] strings = { "2", "3", "1", "4" }; Arrays.sort(strings, 1, 4); System.out.println(Arrays.toString(strings)); } } What is the given code fragment's output? a. [2, 3, 1, 4] b. [2, 1, 3, 4] c. [1, 2, 3, 4] d. [2, 4, 1, 3] e. [4, 3, 2, 1] Analicemos el código 👇 String[] strings = { "2", "3", "1", "4" }; Arrays.sort(strings, 1, 4); System.out.println(Arrays.toString(strings)); Paso 1: Arreglo original ["2", "3", "1", "4"] Paso 2: Uso de Arrays.sort(strings, 1, 4) ● Arrays.sort(array, fromIndex, toIndex) → ordena desde fromIndex (incluido) hasta toIndex (excluido) . ● Aquí: fromIndex = 1 , toIndex = 4 → se ordenan los elementos en posiciones 1, 2, 3 ( "3" , "1" , "4" ). ● El elemento en índice 0 ( "2" ) queda igual . Paso 3: Orden lexicográﬁco de {"3", "1", "4"} En orden ascendente (String): "1"
Java.pdf	java/Java.pdf	64	Java	pág 96	class Exc1 extends Exception {} class Exc2 extends Exception {} public class Test { static void a() throws Exc1 { try { System.out.print("Try "); } catch (Exc1 e) { System.out.print("Catch "); } finally { System.out.println("Finally "); } } static void b() throws Exc1, Exc2 { throw new Exc2(); } public static void main(String args[]) { try { a(); b(); } catch (Exc1 e) { System.out.println("Caught1"); } catch (Exc2 ex) { System.out.print("Caught2"); } } } What is the result? a. Try Finally Caught2 b. La compilación falla c. Try d. Try Caught2 e. Try ﬁnally
Java.pdf	java/Java.pdf	65	Java	pág 98	En Java, ¿cuál de las siguientes instrucciones es usada para llamar a un constructor desde otro constructor en la misma clase? a. this.<class_name>() b. super() c. new() d. this() En Java: ● super() → llama al constructor de la superclase . ● new() → crea un nuevo objeto . ● this.<class_name>() → ❌ no existe en Java. ● this() →
Java.pdf	java/Java.pdf	66	APX	pág 99	¿Cuáles son las utilerías que pueden ser usadas en APX Batch? a. JDBC Utility b. AP Connector c. Merge/Sort d. Neo4J e. Document Manager
Java.pdf	java/Java.pdf	67	Java	pág 99	What will be the output of the following code snippet? import java.io.Closeable; import java.io.IOException; class Resource implements AutoCloseable { @Override public void close() { System.out.print("Resource closed "); } public void use() { System.out.print("Resource used "); } } public class Test { public static void main(String[] args) { try (Resource resource = new Resource()) { resource.use(); } catch (Exception e) { e.printStackTrace(); } } } a. Compilation error. b. Resource used Resource closed. c. Resource closed Resource used. d. Runtime error. Vamos a analizarlo paso a paso 👇 Código: class Resource implements AutoCloseable { @Override public void close() { System.out.print("Resource closed "); } public void use() { System.out.print("Resource used "); } } public class Test { public static void main(String[] args) { try (Resource resource = new Resource()) { resource.use(
